,location_id,age_group_id,sex_id,1990,1995,2000,2005,2010,2016
21,6,12,2,-6.186464050779982,-6.256423378222396,-6.461538907885533,-6.647178961539749,-6.917854542427523,-7.194752494760461
22,6,13,1,-5.482800536227853,-5.433910074770832,-5.496092637294219,-5.5567473340685805,-5.713492197924755,-5.922540582699069
23,6,13,2,-5.870467924507984,-5.909519261061052,-6.0687736430838495,-6.2822124702193625,-6.513565181021867,-6.763528712931431
24,6,14,1,-5.037273247104044,-5.0540408222329365,-5.123984981687006,-5.247276279561499,-5.354139235311589,-5.477634796924547
25,6,14,2,-5.458096570875545,-5.518999426898329,-5.692603824687017,-5.871063474995054,-6.093280505032723,-6.268378306276153
26,6,15,1,-4.6043440425885445,-4.675315189727803,-4.738418696027665,-4.783450622127465,-4.927733450573509,-5.053555503679413
27,6,15,2,-5.020001816055294,-5.131195902631211,-5.236047298765097,-5.347756136543158,-5.6057982614571555,-5.800480192646059
28,6,16,1,-4.141289532061243,-4.241500711406458,-4.296156992225151,-4.372924304261574,-4.515623022663129,-4.6403122743071314
29,6,16,2,-4.573257086600608,-4.705207772071969,-4.782253973066665,-4.89753675539863,-5.164845894331956,-5.397614751936029
30,6,17,1,-3.628372572902066,-3.696193414262678,-3.7925921331472536,-3.9541275395873248,-4.042606388095818,-4.108537866225604
31,6,17,2,-4.056199859269833,-4.165095825455505,-4.253018934545038,-4.449289035166938,-4.633932022704423,-4.825276032081669
32,6,18,1,-3.176553342692408,-3.259966152636602,-3.306378387319661,-3.4275018788580316,-3.5723553521216482,-3.6334742857207494
33,6,18,2,-3.571424839631661,-3.6811229279826847,-3.747309700658095,-3.897397014618422,-4.13205589264715,-4.329442662905643
34,6,19,1,-2.6739825870752942,-2.733012522851527,-2.7991545775440514,-2.9361834002953744,-3.0732610873557182,-3.187218217712763
35,6,19,2,-3.0380743337618554,-3.090319582230816,-3.2015903575042612,-3.354169369336433,-3.564995171302493,-3.8109453624375145
36,6,20,1,-2.2823388075992646,-2.3453590276689176,-2.385331038771696,-2.4835083173478676,-2.60745088190164,-2.7092560359689393
37,6,20,2,-2.601415790360983,-2.6535900821139835,-2.738194473421833,-2.881796307625625,-3.0590623630592697,-3.2587054069379464
38,6,30,1,-1.8988563859446779,-1.9161753457251993,-1.9683583659720494,-2.025461707402429,-2.106386290646958,-2.2165284370689027
39,6,30,2,-2.1353668280907314,-2.1471791466064696,-2.235838107388474,-2.3429406648354387,-2.477510806817449,-2.659342736442288
40,6,31,1,-1.5285310483389938,-1.53306266335453,-1.5764815367834146,-1.6234178342496577,-1.6631605860541243,-1.7561534740917517
41,6,31,2,-1.6922755218622858,-1.6953165261986758,-1.7620114442708403,-1.8515639437351323,-1.9408956320842345,-2.09108469636975
42,6,32,1,-1.173461325565261,-1.1654161387605106,-1.2048096887627144,-1.2425446003040506,-1.2800678309772808,-1.3281818894918427
43,6,32,2,-1.2972468380253974,-1.2919054078963192,-1.3407236449551938,-1.4123393906020572,-1.4793818639482152,-1.5825018529658252
